"행정구역","2023년01월_계_총인구수","2023년01월_계_연령구간인구수","2023년01월_계_0~9세","2023년01월_계_10~19세","2023년01월_계_20~29세","2023년01월_계_30~39세","2023년01월_계_40~49세","2023년01월_계_50~59세","2023년01월_계_60~69세","2023년01월_계_70~79세","2023년01월_계_80~89세","2023년01월_계_90~99세","2023년01월_계_100세 이상"
"서울특별시  (1100000000)","9,424,873","9,424,873","541,595","748,219","1,385,210","1,424,188","1,447,594","1,493,331","1,301,366","715,451","323,956","42,644","1,319"
"서울특별시 종로구 (1111000000)","141,223","141,223","6,317","10,077","22,200","19,302","19,918","24,190","20,345","11,438","6,492","912","32"
"서울특별시 종로구 청운효자동(1111051500)","11,600","11,600","663","1,110","1,440","1,557","2,014","1,894","1,387","920","541","71","3"
"서울특별시 종로구 사직동(1111053000)","9,131","9,131","505","664","1,103","1,437","1,417","1,501","1,220","686","506","89","3"
"서울특별시 종로구 삼청동(1111054000)","2,325","2,325","85","174","275","294","333","363","387","239","148","25","2"
"서울특별시 종로구 부암동(1111055000)","9,198","9,198","412","847","1,156","1,147","1,424","1,653","1,341","724","419","71","4"
"서울특별시 종로구 평창동(1111056000)","17,636","17,636","1,068","1,540","2,181","2,082","2,561","3,167","2,749","1,345","798","135","10"
"서울특별시 종로구 무악동(1111057000)","8,012","8,012","563","947","849","846","1,306","1,426","1,064","590","377","41","3"
"서울특별시 종로구 교남동(1111058000)","9,794","9,794","754","803","1,134","1,468","1,724","1,627","1,174","702","370","38","0"
"서울특별시 종로구 가회동(1111060000)","3,962","3,962","170","297","440","518","655","694","573","376","206","33","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,732","6,732","169","197","964","957","865","1,149","1,310","711","364","43","3"
"서울특별시 종로구 종로5.6가동(1111063000)","5,309","5,309","146","208","1,190","822","549","882","770","479","234","29","0"
"서울특별시 종로구 이화동(1111064000)","7,085","7,085","192","337","1,561","1,236","861","1,041","918","561","335","43","0"
"서울특별시 종로구 혜화동(1111065000)","16,052","16,052","546","1,266","4,332","1,979","2,022","2,307","1,668","1,120","708","101","3"
"서울특별시 종로구 창신제1동(1111067000)","4,649","4,649","110","198","583","584","511","921","984","481","253","24","0"
"서울특별시 종로구 창신제2동(1111068000)","7,687","7,687","178","364","1,038","898","873","1,720","1,429","771","367","49","0"
"서울특별시 종로구 창신제3동(1111069000)","6,448","6,448","323","456","866","893","830","1,200","1,067","491","281","41","0"
"서울특별시 종로구 숭인제1동(1111070000)","5,775","5,775","209","353","723","799","847","1,088","936","523","258","38","1"
"서울특별시 종로구 숭인제2동(1111071000)","9,828","9,828","224","316","2,365","1,785","1,126","1,557","1,368","719","327","41","0"
"서울특별시 중구 (1114000000)","120,317","120,317","5,939","6,290","17,525","19,880","16,749","19,367","18,064","10,236","5,404","836","27"
"서울특별시 중구 소공동(1114052000)","2,221","2,221","158","123","251","476","509","318","234","105","40","7","0"
"서울특별시 중구 회현동(1114054000)","4,537","4,537","179","207","445","544","583","801","974","507","247","47","3"
"서울특별시 중구 명동(1114055000)","2,721","2,721","78","135","332","383","377","457","490","290","152","27","0"
"서울특별시 중구 필동(1114057000)","3,946","3,946","163","184","709","683","457","577","610","309","209","44","1"
"서울특별시 중구 장충동(1114058000)","4,543","4,543","137","277","1,211","667","526","601","545","343","206","30","0"
"서울특별시 중구 광희동(1114059000)","5,223","5,223","116","192","1,068","978","570","741","818","494","218","28","0"
"서울특별시 중구 을지로동(1114060500)","1,651","1,651","41","39","229","309","161","240","351","192","79","10","0"
"서울특별시 중구 신당동(1114061500)","7,610","7,610","250","249","1,380","1,324","1,016","1,270","1,121","650","296","54","0"
"서울특별시 중구 다산동(1114062500)","13,468","13,468","466","731","2,192","2,182","1,786","2,183","2,025","1,177","641","82","3"
"서울특별시 중구 약수동(1114063500)","16,376","16,376","908","913","1,866","2,274","2,320","2,666","2,709","1,629","932","155","4"
"서울특별시 중구 청구동(1114064500)","13,161","13,161","658","783","1,689","2,141","1,723","2,177","2,075","1,134","680","97","4"
"서울특별시 중구 신당제5동(1114065000)","10,162","10,162","501","501","1,554","1,720","1,434","1,802","1,402","799","392","53","4"
"서울특별시 중구 동화동(1114066500)","10,053","10,053","629","783","1,203","1,280","1,418","1,870","1,549","787","467","66","1"
"서울특별시 중구 황학동(1114067000)","12,640","12,640","697","457","2,137","2,877","1,836","1,780","1,540","874","377","63","2"
"서울특별시 중구 중림동(1114068000)","12,005","12,005","958","716","1,259","2,042","2,033","1,884","1,621","946","468","73","5"
"서울특별시 용산구 (1117000000)","218,412","218,412","11,886","14,229","31,660","38,002","32,421","35,190","29,268","15,507","8,865","1,338","46"
"서울특별시 용산구 후암동(1117051000)","16,293","16,293","786","1,107","2,333","2,761","2,410","2,648","2,256","1,231","657","96","8"
"서울특별시 용산구 용산2가동(1117052000)","9,024","9,024","273","443","1,368","1,633","1,276","1,268","1,352","874","464","73","0"
"서울특별시 용산구 남영동(1117053000)","7,080","7,080","147","242","865","1,032","921","1,541","1,405","608","288","27","4"
"서울특별시 용산구 청파동(1117055500)","19,103","19,103","551","1,018","4,151","3,336","2,447","2,976","2,456","1,368","713","84","3"
"서울특별시 용산구 원효로제1동(1117056000)","17,140","17,140","1,188","950","2,916","4,098","2,686","2,243","1,774","818","400","64","3"
"서울특별시 용산구 원효로제2동(1117057000)","13,686","13,686","802","1,070","1,894","2,235","2,026","2,249","1,829","963","538","75","5"
"서울특별시 용산구 효창동(1117058000)","10,744","10,744","807","714","1,581","2,005","1,634","1,727","1,184","661","376","54","1"
